is_number,title,domain,standard_type,source_authority,source_type,verification_status,status,embedding_text,source_document,source_url,reviewed_in,amendment_count,certification_status,supersedes,superseded_by,metadata_rule
IS 8229:1986,Specification for Oil-well Cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 8229:1986 | Specification for Oil-well Cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12330:1988,Specification for sulphate resisting Portland cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12330:1988 | Specification for sulphate resisting Portland cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12600:1989,Specification for low heat Portland cement,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12600:1989 | Specification for low heat Portland cement | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 16415:2015,Composite cement - Specification,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 16415:2015 | Composite cement - Specification | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 16993:2018,Microfine ordinary Portland cement - Specification,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 16993:2018 | Microfine ordinary Portland cement - Specification | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 18189:2023,Portland calcined clay limestone cement - Specification,Civil Engineering / Cement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 18189:2023 | Portland calcined clay limestone cement - Specification | Civil Engineering / Cement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 1):1996,Methods of physical tests for hydraulic cement: Part 1 Determination of fineness by dry sieving,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 1):1996 | Methods of physical tests for hydraulic cement: Part 1 Determination of fineness by dry sieving | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 2):1999,Methods of physical tests for hydraulic cement: Part 2 Determination of fineness by Blaine air permeability method,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 2):1999 | Methods of physical tests for hydraulic cement: Part 2 Determination of fineness by Blaine air permeability method | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 3):1988,Methods of physical tests for hydraulic cement: Part 3 Determination of soundness,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 3):1988 | Methods of physical tests for hydraulic cement: Part 3 Determination of soundness | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 4):1988,Methods of physical tests for hydraulic cement: Part 4 Determination of consistency of standard cement paste,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 4):1988 | Methods of physical tests for hydraulic cement: Part 4 Determination of consistency of standard cement paste | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 5):1988,Methods of physical tests for hydraulic cement: Part 5 Determination of initial and final setting times,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 5):1988 | Methods of physical tests for hydraulic cement: Part 5 Determination of initial and final setting times | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 6):1988,Methods of physical tests for hydraulic cement: Part 6 Determination of compressive strength of hydraulic cement other than masonry cement,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 6):1988 | Methods of physical tests for hydraulic cement: Part 6 Determination of compressive strength of hydraulic cement other than masonry cement | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 7):1988,Methods of physical tests for hydraulic cement: Part 7 Determination of compressive strength of masonry cement,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 7):1988 | Methods of physical tests for hydraulic cement: Part 7 Determination of compressive strength of masonry cement | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 8):1988,Methods of physical tests for hydraulic cement: Part 8 Determination of transverse and compressive strength of plastic mortar using prism,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 8):1988 | Methods of physical tests for hydraulic cement: Part 8 Determination of transverse and compressive strength of plastic mortar using prism | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 9):1988,Methods of physical tests for hydraulic cement: Part 9 Determination of heat of hydration,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 9):1988 | Methods of physical tests for hydraulic cement: Part 9 Determination of heat of hydration | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 10):1988,Methods of physical tests for hydraulic cement: Part 10 Determination of drying shrinkage,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 10):1988 | Methods of physical tests for hydraulic cement: Part 10 Determination of drying shrinkage | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 11):1988,Methods of physical tests for hydraulic cement: Part 11 Determination of density,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 11):1988 | Methods of physical tests for hydraulic cement: Part 11 Determination of density | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 12):1988,Methods of physical tests for hydraulic cement: Part 12 Determination of air content of hydraulic cement mortar,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 12):1988 | Methods of physical tests for hydraulic cement: Part 12 Determination of air content of hydraulic cement mortar | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 13):1988,Methods of physical tests for hydraulic cement: Part 13 Measurement of water retentivity of masonry cement,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 13):1988 | Methods of physical tests for hydraulic cement: Part 13 Measurement of water retentivity of masonry cement | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 14):1989,Hydraulic cement - Methods of physical tests: Part 14 Determination of false set,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 14):1989 | Hydraulic cement - Methods of physical tests: Part 14 Determination of false set | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4031 (Part 15):1991,Methods of physical tests for hydraulic cement: Part 15 Determination of fineness by wet sieving,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4031 (Part 15):1991 | Methods of physical tests for hydraulic cement: Part 15 Determination of fineness by wet sieving | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4032:1985,Method of chemical analysis of hydraulic cement,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4032:1985 | Method of chemical analysis of hydraulic cement | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12423:1988,Method for colorimetric analysis of hydraulic cement,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12423:1988 | Method for colorimetric analysis of hydraulic cement | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12803:1989,Methods of analysis of hydraulic cement by X-ray fluorescence spectrometer,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12803:1989 | Methods of analysis of hydraulic cement by X-ray fluorescence spectrometer | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12813:1989,Method of analysis of hydraulic cement by atomic absorption spectrophotometer,Civil Engineering / Cement,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12813:1989 | Method of analysis of hydraulic cement by atomic absorption spectrophotometer | Civil Engineering / Cement | Test Method,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 456:2000,Plain and reinforced concrete - Code of practice,Civil Engineering / Concrete,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 456:2000 | Plain and reinforced concrete - Code of practice | Civil Engineering / Concrete | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 383:2016,Coarse and Fine Aggregate for Concrete - Specification,Civil Engineering / Concrete,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 383:2016 | Coarse and Fine Aggregate for Concrete - Specification | Civil Engineering / Concrete | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 10262:2019,Concrete Mix Proportioning - Guidelines,Civil Engineering / Concrete,Guidelines,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 10262:2019 | Concrete Mix Proportioning - Guidelines | Civil Engineering / Concrete | Guidelines,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification,Civil Engineering / Reinforcement,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1786:2008 | High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification | Civil Engineering / Reinforcement | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 2062:2011,Hot rolled medium and high tensile structural steel - Specification,Metallurgy / Structural Steel,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 2062:2011 | Hot rolled medium and high tensile structural steel - Specification | Metallurgy / Structural Steel | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 2185 (Part 3),Concrete masonry units - Part 3 Autoclaved cellular aerated concrete blocks,Civil Engineering / Masonry,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 2185 (Part 3) | Concrete masonry units - Part 3 Autoclaved cellular aerated concrete blocks | Civil Engineering / Masonry | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 15658:2021,Concrete Paving Blocks - Specification,Civil Engineering / Pavements,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 15658:2021 | Concrete Paving Blocks - Specification | Civil Engineering / Pavements | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 16777:2019,Code of practice for laying interlocking concrete paving blocks,Civil Engineering / Pavements,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 16777:2019 | Code of practice for laying interlocking concrete paving blocks | Civil Engineering / Pavements | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 18889:2024,Precast concrete paving flags - Specification,Civil Engineering / Pavements,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 18889:2024 | Precast concrete paving flags - Specification | Civil Engineering / Pavements | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 18894:2024,Precast concrete paving grids and grass pavers,Civil Engineering / Pavements,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 18894:2024 | Precast concrete paving grids and grass pavers | Civil Engineering / Pavements | Product Specification,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 800:2007,General construction in steel - Code of practice,Civil Engineering / Structural Steel,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 800:2007 | General construction in steel - Code of practice | Civil Engineering / Structural Steel | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 875 (Part 1):1987,Code of practice for design loads - Part 1 dead loads,Civil Engineering / Structural Design,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 875 (Part 1):1987 | Code of practice for design loads - Part 1 dead loads | Civil Engineering / Structural Design | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 875 (Part 2):1987,Code of practice for design loads - Part 2 imposed loads,Civil Engineering / Structural Design,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 875 (Part 2):1987 | Code of practice for design loads - Part 2 imposed loads | Civil Engineering / Structural Design | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 875 (Part 3):2015,Design Loads other than Earthquake - Part 3 Wind Loads,Civil Engineering / Structural Design,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 875 (Part 3):2015 | Design Loads other than Earthquake - Part 3 Wind Loads | Civil Engineering / Structural Design | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1893 (Part 1):2016,Criteria for earthquake resistant design of structures - Part 1 General provisions,Civil Engineering / Earthquake Engineering,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1893 (Part 1):2016 | Criteria for earthquake resistant design of structures - Part 1 General provisions | Civil Engineering / Earthquake Engineering | Code of Practice,BIS Compendium of Cement Standards / BIS Civil Engineering material,https://www.bis.gov.in/compendium-of-indian-standards/?lang=en,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
